MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,N_Traffic,NE_Traffic,E_Traffic,SE_Traffic,S_Traffic,SW_Traffic,W_Traffic,NW_Traffic,Clogging?
1,1,4,AA,196,N3FBAA,MIA,PHL,600,604,4,164,174,148,1013,850,8,844,858,14,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
1,1,4,F9,1104,N211FR,CLE,FLL,600,556,-4,175,157,142,1062,828,5,855,833,-22,No,No,Yes,Yes,No,No,No,Yes,No
1,1,4,B6,723,N804JB,DCA,MCO,700,652,-8,143,130,111,759,856,6,923,902,-21,Yes,No,No,No,Yes,Yes,No,No,No
1,1,4,DL,2067,N955DN,CMH,ATL,710,708,-2,101,85,68,447,827,6,851,833,-18,Yes,No,No,Yes,No,No,No,Yes,No
1,1,4,UA,1568,N24212,SAN,EWR,620,615,-5,320,283,253,2425,1346,12,1440,1358,-42,No,No,No,Yes,No,No,Yes,No,No
1,1,4,OO,6534,N784SK,ATL,DEN,855,853,-2,210,221,192,1199,1020,14,1025,1034,9,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
1,1,4,UA,1764,N14228,CLE,RSW,702,701,-1,178,151,136,1025,929,3,1000,932,-28,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
1,1,4,DL,1324,N908DE,BNA,ATL,645,642,-3,74,57,36,214,833,6,859,839,-20,No,Yes,No,No,Yes,Yes,No,Yes,No
1,1,4,EV,4197,N13202,IAH,MCI,900,858,-2,121,110,86,643,1042,6,1101,1048,-13,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
1,1,4,EV,5491,N838AS,OAJ,ATL,600,552,-8,92,97,69,399,724,5,732,729,-3,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
1,1,4,WN,1989,N230WN,LAS,MKE,755,753,-2,205,187,173,1524,1256,4,1320,1300,-20,Yes,No,Yes,No,No,No,Yes,No,No
1,1,4,DL,2226,N820DN,ATL,FLL,800,759,-1,110,98,80,581,934,3,950,937,-13,Yes,No,No,Yes,Yes,No,No,Yes,No
1,1,4,MQ,3446,N656MQ,MHK,ORD,715,755,40,120,113,66,501,920,28,915,948,33,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
1,1,4,B6,606,N527JB,LGB,SEA,806,758,-8,164,152,134,965,1021,9,1050,1030,-20,No,No,No,No,No,Yes,Yes,Yes,No
1,1,4,WN,752,N743SW,HOU,MDW,715,711,-4,150,131,115,937,914,8,945,922,-23,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
1,1,4,US,446,N651AW,MCI,PHX,550,544,-6,178,179,159,1044,738,5,748,743,-5,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
1,1,4,UA,443,N587UA,JFK,LAX,830,825,-5,387,388,361,2475,1143,10,1157,1153,-4,No,Yes,Yes,Yes,No,No,No,No,No
1,1,4,UA,1592,N58101,EWR,MCO,751,835,44,176,160,135,937,1104,11,1047,1115,28,No,No,No,No,No,Yes,Yes,Yes,No
1,1,4,WN,691,N787SA,ONT,MDW,710,743,33,230,219,204,1706,1315,7,1300,1322,22,Yes,Yes,No,No,No,Yes,No,No,No
1,1,4,B6,1236,N346JB,SJU,STT,748,737,-11,34,29,17,68,804,2,822,806,-16,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
1,1,4,WN,355,N261WN,SAN,LAS,850,845,-5,70,66,53,258,947,4,1000,951,-9,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
1,1,4,F9,722,N943FR,DEN,DCA,745,740,-5,187,178,159,1476,1232,6,1252,1238,-14,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
1,1,4,EV,2533,N906EV,TYS,DFW,600,559,-1,155,166,128,772,740,5,735,745,10,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
1,1,4,AA,1506,N631AA,MIA,SJU,713,728,15,153,140,121,1045,1044,4,1046,1048,2,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
1,1,4,DL,782,N925DL,MIA,JFK,815,813,-2,173,170,142,1089,1054,9,1108,1103,-5,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1,1,4,B6,3,N913JB,JFK,SJU,714,711,-3,233,202,181,1598,1129,4,1207,1133,-34,No,No,Yes,Yes,No,No,No,Yes,No
1,1,4,UA,618,N467UA,SEA,ORD,903,901,-2,238,221,201,1721,1438,4,1501,1442,-19,No,Yes,No,No,Yes,Yes,No,Yes,No
1,1,4,DL,2243,N302NB,RDU,MSP,835,826,-9,182,168,143,980,1008,6,1037,1014,-23,No,No,No,Yes,Yes,Yes,No,Yes,No
1,1,4,B6,2001,N358JB,BUF,JFK,535,530,-5,88,78,56,301,643,5,703,648,-15,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes
1,1,4,WN,178,N485WN,BNA,LAS,715,714,-1,260,254,232,1587,921,7,935,928,-7,Yes,Yes,No,No,Yes,No,No,Yes,No
1,1,4,MQ,3342,N817MQ,DFW,LEX,840,,,123,,,785,,,1143,,,No,No,Yes,Yes,No,No,No,No,No
1,1,4,B6,232,N796JB,LGB,SLC,856,849,-7,102,102,91,588,1129,2,1138,1131,-7,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
1,1,4,US,858,N703UW,ALB,CLT,800,800,0,146,138,114,646,1012,6,1026,1018,-8,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
1,1,4,US,605,N751UW,BWI,PHX,705,704,-1,311,335,313,1999,1035,4,1016,1039,23,Yes,No,No,Yes,Yes,No,Yes,No,No
1,1,4,MQ,3189,N532MQ,CID,DFW,600,,,140,,,685,,,820,,,No,Yes,Yes,No,No,Yes,No,No,No
1,1,4,VX,902,N529VA,SFO,LAS,900,853,-7,90,90,70,414,1013,10,1030,1023,-7,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1,1,4,EV,5764,N832AS,ORD,IAD,632,627,-5,112,100,77,589,858,9,924,907,-17,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
1,1,4,F9,1279,N918FR,PHL,MCO,530,526,-4,160,146,128,861,746,6,810,752,-18,No,Yes,No,No,Yes,Yes,Yes,No,No
1,1,4,US,495,N652AW,TPA,PHX,720,716,-4,292,284,264,1788,951,9,1012,1000,-12,No,No,No,No,Yes,No,No,Yes,No
1,1,4,MQ,2897,N907MQ,DFW,GPT,815,,,88,,,500,,,943,,,No,Yes,Yes,Yes,No,Yes,No,No,No
1,1,4,UA,1221,N37281,PDX,DEN,530,534,4,142,142,125,991,848,8,852,856,4,No,Yes,No,No,Yes,Yes,Yes,No,No
1,1,4,DL,1577,N3744F,ATL,BOS,850,907,17,150,140,119,946,1122,5,1120,1127,7,No,Yes,No,No,Yes,No,Yes,Yes,No
1,1,4,DL,904,N3748Y,LGA,ATL,600,601,1,159,126,111,762,803,4,839,807,-32,Yes,No,No,Yes,No,No,No,Yes,No
1,1,4,OO,5471,N576SW,RKS,DEN,700,,,87,,,260,,,827,,,No,Yes,Yes,No,No,No,Yes,Yes,No
1,1,4,DL,1169,N378DA,MIA,LAX,755,753,-2,360,359,324,2342,1032,20,1055,1052,-3,No,No,No,No,Yes,Yes,Yes,No,No
1,1,4,AA,2424,N3DLAA,LAX,DFW,650,641,-9,180,188,146,1235,1125,24,1150,1149,-1,No,No,No,Yes,No,Yes,Yes,Yes,No
1,1,4,AA,1422,N003AA,DFW,HDN,800,918,78,145,145,111,769,1039,4,925,1043,78,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,1,4,OO,6389,N958SW,ORD,TVC,808,803,-5,65,65,42,224,1003,5,1013,1008,-5,Yes,No,Yes,No,No,Yes,Yes,No,No
1,1,4,MQ,3205,N680MQ,SAV,DFW,620,,,185,,,925,,,825,,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
1,1,4,US,490,N662AW,FLL,CLT,810,801,-9,119,119,96,631,952,8,1009,1000,-9,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
1,1,4,OO,5428,N679SA,HYS,DEN,650,650,0,74,85,53,298,706,9,704,715,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,1,4,OO,4771,N453SW,DLH,MSP,900,854,-6,76,75,39,144,1001,8,1016,1009,-7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,1,4,EV,5732,N833AS,CAE,IAD,603,605,2,82,87,62,401,728,4,725,732,7,Yes,No,No,Yes,No,No,No,Yes,No
1,1,4,EV,4691,N16919,EWR,DAY,745,741,-4,120,127,103,533,945,3,945,948,3,No,No,Yes,Yes,No,No,Yes,No,No
1,1,4,UA,1162,N36247,EWR,BOS,829,827,-2,80,61,43,200,922,6,949,928,-21,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
1,1,4,EV,4221,N14570,BTR,IAH,702,653,-9,73,83,63,253,806,10,815,816,1,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
1,1,4,HA,342,N487HA,HNL,ITO,808,809,1,50,58,35,216,900,7,858,907,9,No,Yes,No,Yes,Yes,No,Yes,No,No
1,1,4,AA,1198,N564AA,PSP,DFW,725,736,11,165,176,145,1126,1218,14,1210,1232,22,No,No,Yes,No,Yes,No,Yes,No,No
1,1,4,AS,766,N468AS,SEA,BWI,815,815,0,305,284,263,2335,1555,4,1620,1559,-21,No,No,No,Yes,No,No,No,Yes,No
1,1,4,F9,706,N948FR,DEN,MSY,838,832,-6,147,161,138,1062,1206,7,1205,1213,8,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
1,1,4,UA,1561,N66825,PHX,IAH,820,838,18,152,135,118,1009,1147,6,1152,1153,1,No,No,No,Yes,No,Yes,No,No,No
1,1,4,EV,4682,N12924,LIT,IAH,755,802,7,95,96,77,374,927,11,930,938,8,Yes,No,Yes,No,Yes,Yes,No,No,No
1,1,4,AA,361,N3KTAA,EWR,MIA,759,805,6,190,189,158,1085,1059,15,1109,1114,5,Yes,No,Yes,No,No,Yes,No,Yes,No
1,1,4,WN,717,N495WN,PIT,BNA,845,840,-5,120,94,81,462,910,4,945,914,-31,Yes,Yes,No,No,Yes,No,No,Yes,No
1,1,4,EV,6070,N17115,XNA,DEN,800,756,-4,130,126,99,616,852,10,910,902,-8,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
1,1,4,AA,2326,N3KEAA,MIA,DCA,645,718,33,150,148,127,919,941,5,915,946,31,No,Yes,No,No,No,Yes,No,Yes,No
1,1,4,AS,722,N403AS,SLC,LAX,700,717,17,125,113,82,590,803,7,805,810,5,No,No,Yes,No,No,Yes,Yes,Yes,No
1,1,4,EV,5688,N833AS,IAD,CLE,816,807,-9,81,68,52,288,911,4,937,915,-22,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
1,1,4,DL,1989,N919DL,FLL,LGA,900,856,-4,174,168,145,1076,1135,9,1154,1144,-10,No,No,No,No,No,No,No,Yes,No
1,1,4,AA,1326,N3HVAA,TUL,ORD,800,841,41,110,90,73,585,1004,7,950,1011,21,No,No,No,No,No,No,Yes,Yes,No
1,1,4,OO,5595,N752SK,ASE,DEN,755,807,12,62,71,32,125,907,11,857,918,21,No,No,Yes,Yes,Yes,No,Yes,No,No
1,1,4,DL,1553,N368NW,LAS,ATL,715,712,-3,225,210,191,1747,1337,5,1400,1342,-18,Yes,No,Yes,Yes,Yes,No,No,No,No
1,1,4,AA,183,N3CBAA,LAS,LAX,735,726,-9,75,90,44,236,830,26,850,856,6,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1,1,4,DL,2252,N301DQ,CHS,ATL,845,842,-3,80,88,48,259,949,21,1005,1010,5,No,No,No,Yes,No,No,No,Yes,No
1,1,4,B6,721,N623JB,BOS,PBI,545,551,6,205,190,170,1197,857,4,910,901,-9,Yes,No,No,Yes,Yes,No,No,No,No
1,1,4,AA,1275,N5FSAA,JFK,STT,800,755,-5,235,220,188,1623,1231,4,1255,1235,-20,No,No,No,Yes,Yes,No,Yes,Yes,No
1,1,4,HA,110,N486HA,LIH,HNL,706,853,107,32,36,20,102,924,5,738,929,111,No,No,No,Yes,No,No,No,No,No
1,1,4,AS,827,N594AS,OAK,HNL,900,903,3,342,335,322,2409,1233,5,1242,1238,-4,No,No,Yes,No,No,No,Yes,No,No
1,1,4,B6,619,N638JB,BOS,SAN,700,657,-3,396,392,373,2588,1025,4,1036,1029,-7,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
1,1,4,MQ,3576,N671MQ,MEM,MIA,810,759,-11,144,138,117,859,1112,5,1134,1117,-17,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
1,1,4,AS,690,N303AS,SEA,GEG,800,757,-3,60,65,40,224,858,4,900,902,2,No,No,No,No,No,Yes,No,No,No
1,1,4,EV,4471,N11113,CLT,EWR,832,827,-5,111,116,83,529,1017,6,1023,1023,0,No,Yes,Yes,Yes,No,No,No,Yes,No
1,1,4,B6,1121,N561JB,PDX,LGB,700,649,-11,136,127,110,846,852,4,916,856,-20,Yes,No,No,Yes,No,Yes,No,Yes,No
1,1,4,WN,3122,N281WN,DCA,TPA,850,941,51,150,137,121,814,1153,5,1120,1158,38,Yes,No,Yes,No,No,No,Yes,Yes,No
1,1,4,AA,395,N3MCAA,ORD,SJU,830,1409,339,270,241,223,2072,2006,4,1500,2010,310,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1,1,4,OO,6616,N897SK,FAT,PHX,615,614,-1,100,111,78,493,900,5,855,905,10,Yes,Yes,Yes,No,No,Yes,No,No,No
1,1,4,OO,4833,N554CA,MKE,DTW,545,543,-2,74,55,36,237,729,9,759,738,-21,No,No,No,No,No,Yes,Yes,No,No
1,1,4,OO,6431,N744SK,LAX,SAT,804,823,19,172,177,142,1211,1315,5,1256,1320,24,No,No,Yes,No,No,No,Yes,No,No
1,1,4,F9,137,N931FR,DEN,SEA,740,736,-4,173,156,138,1024,905,7,933,912,-21,No,Yes,Yes,No,No,Yes,Yes,No,No
1,1,4,OO,2604,N693BR,SAN,LAX,630,620,-10,55,49,25,109,702,7,725,709,-16,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
1,1,4,DL,1501,N664DN,BOS,ATL,715,713,-2,189,164,143,946,953,4,1024,957,-27,Yes,No,No,No,No,Yes,No,Yes,No
1,1,4,DL,428,N995AT,JFK,TPA,800,753,-7,191,173,150,1005,1043,3,1111,1046,-25,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1,1,4,AS,30,N514AS,PDX,BOS,750,741,-9,314,294,277,2537,1530,5,1604,1535,-29,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
1,1,4,WN,873,N291WN,ELP,DAL,810,830,20,90,89,74,562,1053,6,1040,1059,19,No,No,No,Yes,No,No,Yes,Yes,No
1,1,4,DL,2453,N966DL,GSP,ATL,550,550,0,59,59,28,153,644,5,649,649,0,No,No,No,Yes,No,No,Yes,Yes,No
1,1,4,UA,1201,N79521,PHL,IAH,530,532,2,230,234,210,1325,814,12,820,826,6,No,Yes,Yes,Yes,No,No,No,Yes,No
1,1,4,VX,312,N854VA,LAX,MCO,840,841,1,280,277,256,2218,1607,11,1620,1618,-2,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
1,1,4,US,1949,N840AW,CLE,CLT,835,828,-7,104,89,67,430,946,11,1019,957,-22,No,No,No,No,No,No,Yes,Yes,No
1,1,4,NK,188,N505NK,OAK,LAS,600,551,-9,83,84,68,407,709,6,723,715,-8,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
1,1,4,DL,968,N67171,SEA,ATL,745,745,0,283,277,249,2182,1514,8,1528,1522,-6,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
1,1,4,OO,3460,N219AG,PDX,ONT,635,635,0,134,121,105,838,832,4,849,836,-13,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
1,1,4,EV,2572,N876AS,MEI,DFW,725,724,-1,110,98,81,485,853,9,915,902,-13,Yes,Yes,No,No,No,Yes,Yes,No,No
1,1,4,WN,310,N634SW,MCO,PVD,815,808,-7,155,155,140,1072,1038,5,1050,1043,-7,Yes,No,No,Yes,Yes,No,No,Yes,No
1,1,4,WN,795,N968WN,AUS,ATL,640,637,-3,130,114,96,813,925,6,950,931,-19,No,Yes,No,Yes,No,Yes,No,No,No
1,1,4,OO,5248,N108SY,ORD,MCI,847,843,-4,98,94,73,403,1013,4,1025,1017,-8,No,No,Yes,No,No,Yes,No,No,No
1,1,4,DL,1074,N977AT,BDL,DTW,906,903,-3,126,122,105,549,1059,6,1112,1105,-7,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
1,1,4,B6,1168,N187JB,PBI,HPN,814,806,-8,165,152,143,1056,1036,2,1059,1038,-21,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
1,1,4,B6,1030,N239JB,BQN,MCO,307,304,-3,173,196,160,1129,509,11,500,520,20,No,Yes,No,No,No,Yes,No,Yes,No
1,1,4,US,1866,N626AW,PIT,CLT,650,653,3,99,87,68,366,812,8,829,820,-9,No,Yes,Yes,No,No,Yes,Yes,No,No
1,1,4,WN,1093,N608SW,DEN,TUS,835,837,2,120,120,99,639,1033,4,1035,1037,2,Yes,Yes,No,Yes,Yes,No,No,No,No
1,1,4,DL,1872,N6705Y,TPA,ATL,630,629,-1,88,74,61,406,739,4,758,743,-15,No,No,Yes,Yes,Yes,No,No,No,No
1,1,4,B6,1226,N292JB,BWI,BOS,804,752,-12,81,79,61,369,907,4,925,911,-14,No,No,No,Yes,No,No,No,Yes,No
1,1,4,AA,1206,N4UBAA,SAT,DFW,720,715,-5,70,57,38,247,802,10,830,812,-18,No,No,No,No,No,No,Yes,No,No
1,1,4,DL,1952,N915AT,ATL,TLH,825,821,-4,66,59,40,223,914,6,931,920,-11,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
1,1,4,B6,2134,N307JB,SJU,MCO,400,535,95,185,175,163,1189,727,3,605,730,85,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
1,1,4,WN,552,N291WN,SAT,ELP,705,734,29,95,96,81,496,806,4,740,810,30,No,No,No,Yes,No,No,Yes,Yes,No
1,1,4,DL,1593,N957DL,MEM,ATL,750,746,-4,81,61,45,332,941,6,1011,947,-24,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
1,1,4,B6,148,N659JB,LGB,OAK,650,648,-2,82,75,59,353,759,4,812,803,-9,No,No,No,No,Yes,No,Yes,Yes,No
1,1,4,WN,304,N292WN,PBI,BWI,755,754,-1,145,140,127,883,1011,3,1020,1014,-6,No,Yes,Yes,No,Yes,No,No,Yes,No
1,1,4,AS,531,N529AS,BUR,SEA,700,904,124,150,146,132,937,1126,4,930,1130,120,No,No,No,Yes,No,No,Yes,No,No
1,1,4,AA,167,N359AA,MIA,SFO,715,747,32,375,364,345,2585,1046,5,1030,1051,21,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
1,1,4,OO,6289,N763SK,SFO,MMH,835,832,-3,65,68,46,193,937,3,940,940,0,Yes,Yes,No,No,Yes,No,No,Yes,No
1,1,4,DL,303,N353NB,MCO,SLC,717,713,-4,301,297,277,1931,1000,10,1018,1010,-8,No,No,No,No,No,No,No,Yes,No
1,1,4,US,1729,N938UW,MCO,CLT,845,847,2,100,97,72,468,1014,10,1025,1024,-1,No,No,Yes,No,Yes,Yes,No,No,No
1,1,4,WN,2087,N418WN,DCA,DAL,855,854,-1,210,224,210,1184,1134,4,1125,1138,13,No,No,No,No,Yes,Yes,Yes,No,No
1,1,4,HA,23,N587HA,OAK,OGG,820,815,-5,320,317,303,2349,1128,4,1140,1132,-8,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
1,1,4,B6,2084,N621JB,MCO,JFK,708,706,-2,147,153,124,944,929,10,935,939,4,No,No,No,Yes,No,Yes,Yes,No,No
1,1,4,OO,5366,N930EV,JMS,DEN,808,,,110,,,573,,,858,,,No,Yes,No,Yes,Yes,No,No,No,No
1,1,4,AA,1453,N4YRAA,DFW,PDX,905,919,14,250,249,219,1616,1126,2,1115,1128,13,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
1,1,4,EV,5330,N741EV,BTV,LGA,728,723,-5,92,64,45,258,818,9,900,827,-33,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
1,1,4,B6,2324,N206JB,MCO,DCA,655,651,-4,124,120,103,759,848,3,859,851,-8,No,No,No,Yes,Yes,No,No,No,No
1,1,4,WN,4476,N778SW,MDW,OAK,845,846,1,290,268,252,1844,1110,4,1135,1114,-21,No,No,No,No,Yes,No,Yes,No,No
1,1,4,UA,1128,N68821,FLL,DEN,734,731,-3,273,290,241,1703,945,36,1007,1021,14,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
1,1,4,WN,890,N717SA,PHX,MDW,640,633,-7,195,186,160,1444,1034,5,1055,1039,-16,Yes,Yes,No,No,Yes,Yes,No,No,No
1,1,4,AA,240,N3BLAA,LAX,DCA,815,814,-1,290,270,244,2311,1536,8,1605,1544,-21,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
1,1,4,WN,205,N624SW,SAN,SJC,715,709,-6,80,78,66,417,823,4,835,827,-8,Yes,Yes,No,No,Yes,No,Yes,No,No
1,1,4,WN,617,N720WN,AUS,BWI,710,709,-1,185,161,148,1342,1047,3,1115,1050,-25,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,1,4,OO,6571,N886AS,DRO,PHX,615,631,16,84,124,57,351,829,6,739,835,56,Yes,No,No,No,Yes,Yes,No,No,No
1,1,4,OO,5249,N118SY,SAT,ORD,619,648,29,172,140,121,1041,857,11,911,908,-3,Yes,No,No,No,No,No,Yes,Yes,No
1,1,4,WN,251,N521SW,AUS,DAL,820,831,11,60,53,36,189,918,6,920,924,4,No,No,Yes,Yes,No,No,Yes,No,No
1,1,4,EV,5920,N13992,TVC,ORD,710,709,-1,80,78,44,224,719,8,730,727,-3,Yes,No,Yes,No,No,Yes,Yes,No,No
1,1,4,US,692,N200UU,CLT,PHX,730,727,-3,282,310,276,1773,1033,4,1012,1037,25,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
1,1,4,DL,2594,N338NW,LGA,DEN,800,800,0,285,282,253,1620,1035,7,1045,1042,-3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,1,4,EV,4158,N11107,ORD,MSY,813,812,-1,151,144,122,837,1028,8,1044,1036,-8,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes
1,1,4,VX,953,N528VA,SAN,SFO,905,900,-5,90,85,67,447,1022,3,1035,1025,-10,No,No,No,Yes,Yes,Yes,No,No,No
1,1,4,B6,2101,N304JB,BUF,JFK,706,703,-3,92,89,59,301,823,9,838,832,-6,No,No,No,Yes,Yes,No,No,No,No
1,1,4,US,1707,N724UW,BNA,CLT,745,753,8,85,88,50,328,1001,20,1010,1021,11,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
1,1,4,MQ,3465,N830MQ,JFK,RDU,815,810,-5,103,99,73,427,947,2,958,949,-9,No,No,No,Yes,No,Yes,No,No,No
